model,method,accepted_edit_count,fork,layer,ordered_delta_frobenius_magnitude,same_entry_delta_frobenius_magnitude,same_minus_ordered_delta_magnitude,same_entry_response_frobenius_magnitude,request_level_target_aligned_same_entry,causal_claim
qwen2.5-7b-inst,alphaedit,1500,ACCUMULATED_OR_STATIC,7,21.542690446815435,21.54269044681956,4.1247005810873816e-12,107.87521254657935,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,1500,ACCUMULATED_OR_STATIC,8,18.711839800217728,18.71183980022075,3.0233593406592263e-12,83.64531630701579,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,1500,RESET_CACHE,4,21.524596324545957,21.52459632454982,3.8617997688561445e-12,517.3161589588253,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,1500,RESET_CACHE,5,24.620127252314422,24.62012725231876,4.337863401815412e-12,293.6732863732194,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,1500,RESET_CACHE,6,14.143439863496058,14.143439863497232,1.1741718708435656e-12,173.8829715910907,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,1500,RESET_CACHE,7,19.38023365082444,19.380233650827833,3.3928415632544784e-12,121.98566393530983,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,1500,RESET_CACHE,8,16.9217138396893,16.921713839691105,1.8047785488306545e-12,103.9051309208544,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,2000,ACCUMULATED_OR_STATIC,4,28.914854398448256,28.914854398452537,4.281019982954604e-12,575.5565332829838,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,2000,ACCUMULATED_OR_STATIC,5,29.9752209711668,29.975220971171066,4.266809128239402e-12,293.8303877233755,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,2000,ACCUMULATED_OR_STATIC,6,17.75249580675628,17.75249580675896,2.682298827494378e-12,168.45908338016167,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,2000,ACCUMULATED_OR_STATIC,7,22.07836682540215,22.07836682540635,4.199307568342192e-12,112.41307962741416,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,2000,ACCUMULATED_OR_STATIC,8,18.965450884736725,18.965450884739735,3.0091484859440243e-12,89.8133144443757,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,2000,RESET_CACHE,4,22.129877996744593,22.129877996748434,3.8404834867833415e-12,573.1381576111339,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,2000,RESET_CACHE,5,23.757268975864502,23.757268975868673,4.170885858911788e-12,305.02325390922624,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,2000,RESET_CACHE,6,14.624087662686824,14.624087662687876,1.0516032489249483e-12,181.9870904675796,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,2000,RESET_CACHE,7,19.212714428800634,19.21271442880384,3.204547738278052e-12,129.22819433159628,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,2000,RESET_CACHE,8,16.560224710598625,16.56022471059992,1.2931877790833823e-12,115.09179550033393,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,3000,ACCUMULATED_OR_STATIC,4,40.972877295454744,40.97287729546214,7.396749879262643e-12,789.1464943057409,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,3000,ACCUMULATED_OR_STATIC,5,39.226749268603164,39.22674926861032,7.155165349104209e-12,288.4379172542677,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,3000,ACCUMULATED_OR_STATIC,6,24.207878305461595,24.207878305466025,4.430233957464225e-12,163.46793013687954,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,3000,ACCUMULATED_OR_STATIC,7,28.886638987179413,28.886638987183765,4.352074256530614e-12,105.29708946837123,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,3000,ACCUMULATED_OR_STATIC,8,23.168073650929525,23.168073650933778,4.2525982735242e-12,79.27671026418675,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,3000,RESET_CACHE,4,28.191366492370705,28.19136649237451,3.8049563499953365e-12,787.7281501268012,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,3000,RESET_CACHE,5,28.395226024986375,28.39522602499038,4.0039083160081645e-12,302.180578650333,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,3000,RESET_CACHE,6,19.27521130580103,19.27521130580438,3.3502089991088724e-12,186.30680082053672,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,3000,RESET_CACHE,7,23.706572421482722,23.706572421487017,4.295230837669806e-12,128.40691066856147,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,3000,RESET_CACHE,8,19.165961435984205,19.165961435987153,2.9487523534044158e-12,107.14504843282985,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,5000,ACCUMULATED_OR_STATIC,4,59.568433048987984,59.56843304899635,8.363087999896379e-12,1518.2343652062652,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,5000,ACCUMULATED_OR_STATIC,5,51.382043567096304,51.382043567105036,8.732570222491631e-12,386.35099351263216,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,5000,ACCUMULATED_OR_STATIC,6,37.22987885453489,37.229878854541404,6.515676886920119e-12,212.09264374579288,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,5000,ACCUMULATED_OR_STATIC,7,56.80133156863069,56.801331568639235,8.547829111194005e-12,170.20221125567159,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,5000,ACCUMULATED_OR_STATIC,8,38.457186041835875,38.45718604184228,6.401990049198503e-12,159.0469272448428,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,5000,RESET_CACHE,4,35.94209857642502,35.942098576429714,4.696687483374262e-12,1552.9159911962545,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,5000,RESET_CACHE,5,28.429232905024755,28.429232905027632,2.8776980798284058e-12,415.33832382296407,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,5000,RESET_CACHE,6,22.770299604960737,22.77029960496454,3.801403636316536e-12,243.90269798290294,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,5000,RESET_CACHE,7,34.73612573847952,34.73612573848474,5.215383680479135e-12,224.53774827959575,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,5000,RESET_CACHE,8,23.931572756798616,23.931572756802243,3.6273206660553114e-12,245.9289809839775,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,7500,ACCUMULATED_OR_STATIC,4,111.03712677110715,111.03712677112166,1.4509282664221246e-11,2926.4315092116,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,7500,ACCUMULATED_OR_STATIC,5,55.95785114434805,55.95785114435672,8.668621376273222e-12,990.5856418630933,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,7500,ACCUMULATED_OR_STATIC,6,64.51085325258823,64.5108532525974,9.166001291305292e-12,450.7940211508274,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,7500,ACCUMULATED_OR_STATIC,7,86.89018003606311,86.89018003607931,1.6200374375330284e-11,304.5380501012081,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,7500,ACCUMULATED_OR_STATIC,8,66.60733600032613,66.60733600033548,9.350742402602918e-12,259.73759788070026,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,7500,RESET_CACHE,4,58.28883606939182,58.28883606939051,-1.3073986337985843e-12,3004.546531727456,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,7500,RESET_CACHE,5,29.342462282742535,29.34246228274261,7.460698725481052e-14,1314.2673527097134,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,7500,RESET_CACHE,6,35.09538260793725,35.09538260794082,3.566924533515703e-12,567.9039455331732,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,7500,RESET_CACHE,7,44.83012592665345,44.83012592665907,5.6203930398623925e-12,383.3384654395332,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,alphaedit,7500,RESET_CACHE,8,35.83550607620684,35.83550607620868,1.8403056856186595e-12,397.4459553537471,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,0,ACCUMULATED_OR_STATIC,4,63.01552396951424,63.015523969518696,4.455102953215828e-12,315.1124571335872,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,0,ACCUMULATED_OR_STATIC,5,33.96150814939429,33.96150814939932,5.030642569181509e-12,291.6446961312691,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,0,ACCUMULATED_OR_STATIC,6,15.798053626730834,15.798053626732168,1.334043986389588e-12,177.25929813507634,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,0,ACCUMULATED_OR_STATIC,7,20.21699713796941,20.216997137973188,3.7765346405649325e-12,108.64341162623201,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,0,ACCUMULATED_OR_STATIC,8,22.32726466590219,22.327264665906462,4.270361841918202e-12,89.642864879291,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,1000,ACCUMULATED_OR_STATIC,4,50.38066289757979,50.38066289758356,3.772981926886132e-12,410.862816688686,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,1000,ACCUMULATED_OR_STATIC,5,25.750023117212,25.750023117216198,4.199307568342192e-12,245.0234653017046,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,1000,ACCUMULATED_OR_STATIC,6,13.053120636796127,13.053120636797377,1.2505552149377763e-12,178.3114079991611,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,1000,ACCUMULATED_OR_STATIC,7,16.250224570493156,16.250224570494588,1.4317436125566019e-12,127.6799409110276,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,1000,ACCUMULATED_OR_STATIC,8,17.800720686949813,17.80072068695235,2.5366375666635577e-12,148.58849602450388,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,10000,ACCUMULATED_OR_STATIC,4,271.2696389277965,271.2696389278155,1.8985701899509877e-11,11031.723757970423,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,10000,ACCUMULATED_OR_STATIC,5,60.904473088044305,60.904473088050345,6.0396132539608516e-12,6693.268550860127,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,10000,ACCUMULATED_OR_STATIC,6,101.1565439479196,101.15654394793225,1.2647660696529783e-11,3534.0101118261773,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,10000,ACCUMULATED_OR_STATIC,7,89.70100418062592,89.701004180639,1.3088197192701045e-11,1588.3515362843889,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,10000,ACCUMULATED_OR_STATIC,8,81.10932270729714,81.10932270730697,9.833911462919787e-12,1175.1197351174867,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,1500,ACCUMULATED_OR_STATIC,4,79.14910622970352,79.14910622970807,4.547473508864641e-12,734.7955595935431,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,1500,ACCUMULATED_OR_STATIC,5,41.234582305087166,41.23458230509376,6.59383658785373e-12,395.02353268785623,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,1500,ACCUMULATED_OR_STATIC,6,19.616576439158255,19.616576439161783,3.5278446830488974e-12,248.6903604398865,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,1500,ACCUMULATED_OR_STATIC,7,24.095554266672675,24.09555426667702,4.344968829173013e-12,218.91898373351557,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,1500,ACCUMULATED_OR_STATIC,8,24.642336828972198,24.64233682897656,4.362732397567015e-12,382.86570641158465,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,2000,ACCUMULATED_OR_STATIC,4,131.6140198055633,131.61401980556943,6.139089236967266e-12,3137.401201324716,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,2000,ACCUMULATED_OR_STATIC,5,73.25378992675067,73.2537899267589,8.22808488010196e-12,1115.6259421356274,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,2000,ACCUMULATED_OR_STATIC,6,45.54916044735398,45.5491604473606,6.622258297284134e-12,863.8311229918851,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,2000,ACCUMULATED_OR_STATIC,7,32.50969716445965,32.50969716446433,4.675371201301459e-12,536.7890834382564,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,2000,ACCUMULATED_OR_STATIC,8,33.03982414193693,33.03982414194178,4.845901457883883e-12,761.7124419848361,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,3000,ACCUMULATED_OR_STATIC,4,248.71766296533792,248.71766296534773,9.805489753489383e-12,6486.114182826172,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,3000,ACCUMULATED_OR_STATIC,5,73.37566401821927,73.37566401822761,8.341771717823576e-12,1497.117949748247,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,3000,ACCUMULATED_OR_STATIC,6,63.35766091751004,63.357660917517485,7.44648787076585e-12,876.9215421795008,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,3000,ACCUMULATED_OR_STATIC,7,56.5214669633737,56.521466963381215,7.51754214434186e-12,798.765267194146,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,3000,ACCUMULATED_OR_STATIC,8,67.51735427336202,67.51735427337091,8.895995051716454e-12,1082.7038171785944,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,5000,ACCUMULATED_OR_STATIC,4,251.2775452273634,251.27754522737754,1.4154011296341196e-11,7460.048743428827,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,5000,ACCUMULATED_OR_STATIC,5,58.465093316011355,58.465093316017736,6.3806737671257e-12,2607.133163681568,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,5000,ACCUMULATED_OR_STATIC,6,63.88499596484655,63.88499596485417,7.617018127348274e-12,1706.8614094889062,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,5000,ACCUMULATED_OR_STATIC,7,63.360861734932016,63.36086173493947,7.453593298123451e-12,827.388044185568,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,5000,ACCUMULATED_OR_STATIC,8,61.21033144879309,61.21033144879938,6.288303211476887e-12,760.1867165259417,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,7500,ACCUMULATED_OR_STATIC,4,274.44948317861207,274.44948317862907,1.6996182239381596e-11,8384.155802678388,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,7500,ACCUMULATED_OR_STATIC,5,45.68478504218371,45.68478504218928,5.5706550483591855e-12,3319.7016564988207,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,7500,ACCUMULATED_OR_STATIC,6,72.96216843507155,72.96216843508115,9.606537787476555e-12,1548.4770793767557,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,7500,ACCUMULATED_OR_STATIC,7,59.5487119617093,59.548711961714226,4.924061158817494e-12,952.6470935748202,NOT_RECORDED_SCHEMA,0
qwen2.5-7b-inst,memit,7500,ACCUMULATED_OR_STATIC,8,66.4246448814379,66.42464488144306,5.158540261618327e-12,814.474602491825,NOT_RECORDED_SCHEMA,0
